pr_gene_symbol	CPC020_MCF7_24H:BRD-A07780951-065-05-0:10	CPC020_MCF7_24H:BRD-A87848830-001-01-9:10	CPC020_MCF7_24H:BRD-K00664012-001-01-2:10	CPC020_MCF7_24H:BRD-K02562327-001-01-6:10
TSPAN3	0.1910	-1.2846	0.2966	1.5441
KEAP1	0.1243	-1.3579	0.7792	-1.6090
SMC3	-0.1084	0.6503	-0.6977	-0.3438
LBR	0.0689	0.6686	-0.3103	1.0766
PPIE	-0.1760	0.0882	0.3730	-0.3788
TERF2IP	0.0156	0.1627	0.4993	-0.6523
BNIP3	-0.0457	0.0027	-0.3798	-0.3353
BCL2	1.1553	0.8999	-0.8367	-1.0884
RBM6	-0.3465	-0.1086	0.5266	-0.0266
CSK	-0.0424	0.5060	0.4929	-0.8016
ALDOC	-0.3914	-0.6452	0.0524	4.2476
UBE2L6	-0.7709	0.5999	-0.2517	3.4062
PCBD1	0.1640	0.1675	0.5520	-2.3839
ICMT	0.6249	0.8402	0.9886	-0.2959
GNPDA1	-1.0480	-0.8464	0.1769	0.8060
NUCB2	-0.0724	-0.5773	1.1840	2.7675
RSU1	0.9529	0.3676	-0.4320	-0.3507
PTPN12	0.0424	-0.2294	-0.3441	1.5899
PCK2	0.0646	-1.2378	0.8737	-1.3929
GFPT1	0.4420	0.8036	0.2919	-0.0432
BLVRA	0.0352	0.7637	0.1118	2.8552
S100A13	-0.4885	0.3351	-0.7181	-0.6120
MYBL2	0.7960	0.5197	-0.0883	-1.1304
STX4	-0.1863	-1.3789	0.7639	-1.6938
TMCO1	-0.5580	-1.1526	0.1387	-1.9035
CCDC85B	0.9911	0.7413	0.5362	-0.8977
DDB2	-0.4994	0.6662	0.1998	-1.0407
BAMBI	-0.4559	-0.4542	0.2683	-0.1574
HADH	0.1032	-0.6446	-0.2842	-1.3466
GLRX	-1.1060	0.7948	-0.1825	8.4992
MVP	0.2450	0.4704	0.3143	3.3903
STMN1	-0.0045	0.5839	0.0392	-1.1210
GALE	-0.5617	0.1286	0.8384	-0.2856
PTPRF	-0.8980	-0.0554	-0.2604	0.5045
PGM1	0.1816	0.3555	0.4010	2.6920
LOXL1	0.4773	-1.1498	-0.0367	1.3325
MYO10	-0.5795	0.7021	-0.0047	3.1127
LIPA	0.5015	0.4260	-0.0537	3.0991
PHGDH	0.4904	0.6527	2.5210	1.5317
ST7	0.0686	1.1538	0.1076	-1.3889
IKBKB	-0.5648	0.6452	0.1075	-1.0633
PCM1	0.1881	-0.3862	-0.0071	-0.8576
IER3	0.0248	-0.2672	0.3507	3.8077
FAT1	0.0457	-0.5785	-0.5153	-0.1583
RNMT	0.3478	-0.3510	0.5633	-0.4213
EGFR	0.8507	0.5557	0.7330	0.0224
NET1	0.3326	-0.1620	-0.5811	0.1373
DECR1	0.0486	0.7673	-0.4760	-0.4579
NPC1	-0.6621	0.5242	-0.0012	0.7256
MEST	-0.3075	0.0753	0.2414	0.6773
PAFAH1B3	-0.0616	-1.1202	1.0609	0.4717
CALU	-0.1998	0.0526	0.1079	1.9354
LGALS8	-0.2414	0.7556	0.1022	1.4553
LRP10	-0.2564	-1.3133	0.9723	-0.7150
ATP1B1	-0.0886	-0.0515	0.2955	2.4620
OXCT1	0.2235	1.2160	-0.4582	-0.2842
SLC25A4	-0.3486	0.1543	-0.1335	-1.1347
ASCC3	0.2733	-0.2939	0.1525	0.1353
TRAM2	1.2833	0.8436	0.1130	-0.5241
PYCR1	-0.0997	-0.9131	1.3080	0.0588
NCOA3	-0.5878	-0.5069	-0.1153	2.4912
POLD4	-0.1095	-1.1038	-0.2489	1.3928
PRKACA	0.1579	0.1980	0.0826	0.3671
LYRM1	-1.3965	-0.5032	0.6793	-0.5013
VDAC1	1.1112	0.0451	0.4407	0.2088
SORBS3	-0.3529	-0.4206	0.0992	-0.1515
SPAG4	-0.1220	1.3389	-0.2914	0.7531
SLC5A6	-0.1173	-0.5663	-0.1699	0.6461
RGS2	-0.4562	0.5930	2.3773	2.8868
SCYL3	-0.1701	0.1909	0.2810	0.0184
TBX2	0.3159	0.2650	-0.1831	-0.1536
DNAJA3	-0.1620	-0.3068	-0.7962	0.3135
DCUN1D4	0.3298	-0.4411	0.0418	-0.5599
DYRK3	-0.5125	-0.5579	-1.6325	0.8679
POLG2	0.5928	-0.5196	-3.0303	-2.8161
TRAPPC3	-0.4719	-1.9609	0.8099	0.7212
TCFL5	0.1255	-2.3753	0.0519	0.1177
RBM34	-0.0800	-0.7608	-0.4508	-1.4743
ITGB1BP1	0.3057	-1.0473	-0.5606	-2.2136
ACLY	0.9644	-0.1605	1.9473	1.4127
RAD51C	0.3140	-0.2092	-2.0731	-1.3766
SMC1A	0.4138	0.5936	-1.4319	-1.1084
YME1L1	-6.5604	0.4269	0.1570	-1.4026
ACAA1	1.4417	-0.4283	0.5523	-0.3272
WFS1	0.3517	-0.4914	-0.0843	1.5248
UBE3B	-0.1874	-0.1735	0.3500	-0.2845
NPDC1	0.0500	-1.4628	0.0095	-2.2938
ALDH7A1	-1.1717	-1.2464	-0.0836	0.3224
POLR2I	0.6034	0.3535	-0.2389	-1.0779
AKAP8L	0.4536	-1.0866	0.0119	0.9837
PLEKHJ1	0.6457	2.0599	1.2813	-1.0042
HAT1	-0.3491	-1.3687	-0.5280	-0.6998
G3BP1	0.6871	1.1265	0.1418	-0.1796
TPD52L2	0.2487	-0.6694	0.6076	-0.3399
PIH1D1	0.3208	0.2628	0.1188	0.9058
SHB	-0.7395	0.2229	-0.1807	0.2375
UTP14A	0.1092	-1.4021	0.1259	-0.5092
TSEN2	-0.7857	-0.6432	0.2017	-0.6569
LYPLA1	-0.2862	0.7341	-1.3492	-1.0829
MAP2K5	-0.3652	0.7199	-0.2436	-1.0440
PUF60	-0.0446	-1.2600	-2.3242	-2.6381
DHRS7	-1.6926	0.0452	1.3148	2.9653
ARID5B	0.9159	0.7909	0.1955	0.3685
IGHMBP2	0.4042	2.5112	0.6742	-0.7704
ADO	-0.1249	1.2396	-0.4775	-0.7742
TCTN1	-0.2178	1.3098	-0.3281	0.2750
AKR7A2	0.0980	0.3188	1.2147	-1.2030
PPP2R5E	-6.3897	-0.5023	-2.4599	1.1544
LAMA3	2.8572	-0.6874	2.6972	-0.2570
FEZ2	0.0207	-0.7586	0.7329	1.4310
IKBKAP	0.2438	0.0486	0.1708	-0.6541
SGCB	-0.2582	-0.0167	0.4223	1.8673
ENOPH1	0.2077	-1.3387	-0.3138	-3.0832
CNOT4	0.7700	0.0407	1.2580	-0.1403
JMJD6	0.6810	-2.4490	0.1336	0.7686
SLC35F2	0.5782	1.1490	-0.5179	0.4035
ANO10	0.2213	2.0267	-0.1171	0.6375
STUB1	0.1185	0.0008	0.0214	-0.6360
BAD	2.5084	-0.9791	1.1236	0.1718
PSMD10	-0.5094	-0.0916	0.4894	0.1359
RAB11FIP2	-0.3730	-0.4897	0.5968	-1.1086
FPGS	0.1748	1.4854	0.2158	-0.0139
RNH1	-0.7973	-1.5233	0.3823	-1.3456
ATG3	0.0622	-0.9462	0.0202	-0.6352
CFLAR	-0.1891	-0.3824	0.2142	-1.3661
HEATR1	0.3315	1.4820	0.0904	-2.1823
WDR7	-0.4555	0.2210	-0.2330	0.7810
AKAP8	0.9422	-0.7811	0.8270	-1.3439
SLC1A4	0.1756	1.1246	1.0289	1.5891
GRWD1	0.0190	-1.6789	0.5923	-3.6418
STAT1	-0.2026	-0.4960	-2.0954	-1.0477
FOXJ3	0.4366	-0.4010	0.1890	0.1832
MTERFD1	-0.5080	-1.4196	-0.2304	-1.2307
CHIC2	-0.3441	0.3707	1.2567	0.6620
USP7	0.9287	-1.1521	0.1264	-1.0257
NOSIP	0.1005	-1.0642	-0.0605	-0.5157
DLD	-0.0433	-0.7081	-0.4422	-0.3808
IDE	0.4566	-0.5539	2.2069	-1.5145
PRPF4	0.1051	-0.4949	-1.6136	-1.9121
MELK	0.1544	-0.3999	-0.7797	-1.1950
SMAD3	-0.8163	0.0218	-0.5020	0.9597
OXA1L	-6.5022	-1.2768	0.3993	-1.9607
SNX7	-0.1606	0.1222	0.0870	0.8029
CDCA4	0.7058	0.5858	0.6728	-1.1885
TBC1D9B	-0.6379	-0.3239	0.1091	-0.2008
NARFL	6.5323	0.3221	0.0172	0.2741
DDX42	0.2571	0.8757	-0.2066	-1.1612
IKBKE	-0.3821	1.5610	0.3487	0.2526
WDTC1	-0.0110	-0.8921	3.2456	2.2111
PLSCR3	-0.1228	-0.2259	-0.0499	0.9539
H2AFV	0.3408	0.2658	-0.3104	-0.2488
NUSAP1	0.1071	-0.4241	-1.8586	-1.3552
FAM69A	-0.4262	0.3126	-0.6420	0.3363
XPO7	0.6445	0.8279	-0.7999	-0.6989
FAIM	-0.7751	-0.8511	-0.3956	-1.8300
PXMP2	0.2986	0.6385	-0.5992	-1.2999
TIMM17B	-1.4824	-0.4290	0.1552	-0.2005
STXBP2	-0.7430	-0.5182	0.2484	-0.8762
HPRT1	-0.1862	0.2653	-0.3170	-0.6795
RRS1	5.4618	-0.8748	0.5132	0.1368
ADAT1	-0.6058	0.4522	-0.5810	-1.4902
SCAND1	-0.0236	0.7169	-1.7692	-1.3832
MFSD10	-0.2815	0.3249	-0.5393	-0.2623
COPS7A	-0.2978	0.3280	0.3642	0.0778
FIS1	0.2701	-1.2964	0.2629	-0.9225
NUDT9	-0.3235	-0.1254	0.6122	0.6397
CSRP1	-0.6040	-0.6205	-1.6048	0.6621
METRN	0.3688	0.9130	-0.3023	0.0007
TCTA	-0.0618	1.8508	-0.1323	-0.7227
TLK2	-0.0510	-1.5203	0.5570	1.8803
KIAA1033	-0.3040	-1.7731	-0.0030	1.6560
DNAJB6	0.1809	0.2458	-1.0397	0.0774
HMGCS1	-0.6944	-2.1405	-0.0875	3.4051
SPRED2	-0.5828	0.9747	-1.8379	-0.9214
MAP7	0.5120	-0.5245	-0.6789	0.3305
CHAC1	0.2329	0.4905	-0.1072	-0.2109
GNAS	-1.8678	-0.2064	-2.2397	-1.7342
TEX10	0.2060	0.9288	0.3282	-1.5205
ZNF586	0.5296	-0.5121	-3.9240	-0.8052
APBB2	0.0678	0.7674	-0.2139	-0.5854
RNF167	-0.2112	-0.2903	0.3618	0.9796
TXNDC9	-0.0273	-0.0115	1.3419	-0.2843
VGLL4	-0.1322	-0.8339	0.2143	-1.1596
YTHDF1	0.9494	-0.4493	0.2381	-0.3868
LSM5	-0.1960	-0.6059	-0.2175	-0.8663
ZMYM2	-0.1889	-1.5434	0.2752	-0.0625
CHMP6	0.1006	-0.2649	0.4912	-1.7811
PIGB	-0.0070	2.5906	-0.2743	2.0780
CHEK2	0.7322	-0.0709	0.1648	-1.6317
ACD	-0.0088	-1.1527	0.0790	-1.2441
SUPV3L1	0.2831	-0.9258	0.1667	0.2048
GPATCH8	-0.0470	0.0677	0.2780	-1.2982
ARPP19	-0.6050	-1.5184	0.3554	-1.6241
RTN2	-1.0109	-0.2042	-0.2987	1.4409
NPEPL1	0.4126	0.4135	0.6883	-2.0030
UBQLN2	0.4704	0.4638	0.1278	-1.1191
DMTF1	-0.7114	-0.3710	-0.3788	0.2955
CLPX	0.1236	-1.0740	0.2148	0.9984
TXNL4B	-0.1174	-0.6685	-0.4979	-0.8622
PRR15L	0.0601	0.1513	1.0148	-0.6286
ST6GALNAC2	-0.5553	0.0929	0.0487	1.0835
ADH5	0.7794	-0.1597	-0.0090	0.6425
GOLT1B	-0.9330	-1.3174	-1.3663	-1.5057
PPOX	0.3060	0.6236	2.1990	0.3198
CANT1	-0.0180	-4.4301	0.3546	0.4276
HOMER2	-0.3470	-0.6812	0.4682	-0.2924
CLTB	0.5986	-0.6607	-0.2059	1.6737
PHKA1	0.8335	0.5121	0.1971	-1.0724
MAP4K4	2.0878	-0.6371	-0.4676	0.8612
PAN2	0.0165	0.1426	-0.5356	-2.0488
PPIC	-0.1714	-0.9709	0.3904	0.7150
EIF5	0.2469	-2.3546	0.2982	-1.7237
TM9SF3	-1.2228	-1.5683	0.1079	1.2235
CCDC86	0.2334	0.2406	-0.0187	-1.9366
SLC25A14	1.0689	-0.6223	-0.2994	0.1656
TBXA2R	-0.8497	0.5031	-0.0847	0.1917
HERPUD1	0.2029	0.6971	0.1908	0.3545
RPL39L	-0.2338	0.0207	0.2781	0.7837
BPHL	-0.3106	0.8600	-0.3697	0.3919
MAPKAPK3	0.9241	0.0282	0.0665	0.5850
MBOAT7	0.0572	-1.5595	1.1640	0.5873
PNKP	-0.3497	-0.0192	-0.2836	0.1453
SLC35A3	-0.2346	0.1469	-0.0660	0.4542
LSR	0.0520	0.3194	0.2816	0.2825
KDM5A	0.1251	-0.1463	1.7065	1.6605
FAM63A	1.7539	0.4188	0.3836	1.0299
RAB4A	-0.1353	-0.0916	0.8725	1.3032
IFRD2	0.5222	-1.4816	0.2227	-2.0356
BACE2	1.5690	0.5735	0.1368	1.2529
LYN	-1.3177	2.0350	0.5435	-0.7033
ISOC1	0.5302	-1.2926	-0.3241	-0.7327
MOK	0.2265	0.6869	0.2688	-0.8249
DNAJB2	-0.1019	-1.1221	0.6634	0.2537
CERK	-0.1439	0.0696	-0.6597	0.3153
LAP3	0.3469	-0.1534	-1.6390	-1.8331
MAPKAPK5	-0.9767	0.3229	-0.2697	-2.4010
HDGFRP3	-0.7696	0.2536	-0.4387	-0.2492
RAB21	0.5483	0.0372	-0.6119	0.1770
PSIP1	-1.8813	0.6024	-0.1669	0.7354
CREB1	-0.3325	-0.8138	0.2180	-1.0206
MBNL2	1.2326	-0.0146	1.6406	1.1081
PACSIN3	0.2665	0.9684	1.1979	0.4042
MTA1	-0.1107	0.3878	0.0720	-0.1335
MACF1	-0.3372	0.1236	0.3289	0.0236
HIST1H2BK	0.1094	-0.3245	0.7601	-0.5938
PCCB	0.0633	-2.4642	0.3972	-1.6627
STAP2	1.9035	-1.1499	0.9725	1.2300
PMM2	0.9113	-1.1541	-0.4474	-0.3232
HSD17B11	-0.3889	-0.0672	1.0034	3.6005
FBXL12	0.0003	-0.0747	0.5855	0.7614
WDR61	0.9578	1.4266	-0.7133	-0.8944
FAS	-0.4082	0.1974	1.4992	1.2393
CENPE	1.2453	1.4554	1.2488	0.2191
CREG1	1.8037	-0.9797	1.8661	1.0926
PRR7	-0.1279	-1.1346	-1.1582	-1.1969
TMEM110	-0.5532	1.6081	0.1152	-0.5423
ZNF589	-0.6650	0.4578	-0.4021	0.4547
CNDP2	0.2902	-1.1113	0.2388	-1.2765
TNIP1	-0.6660	-0.6732	0.6251	0.1310
P4HTM	-0.2396	0.5646	0.4402	-0.6235
REEP5	0.0649	-0.1262	1.8049	0.5830
BZW2	0.3698	-0.9714	-0.2657	0.6297
CGRRF1	-1.0159	-0.2112	-0.4834	0.9362
AMDHD2	-0.5229	-0.4153	0.8002	0.5197
PEX11A	-0.2316	0.1595	0.0417	0.9079
GFOD1	-0.6832	1.9638	0.4302	-0.1908
PECR	-0.0935	1.8017	-0.7060	0.0852
SOCS2	0.5047	0.3284	-0.2167	-0.2877
ZDHHC6	0.5433	-1.7617	-1.3248	-2.4238
ITGAE	-0.5426	0.2439	0.1722	-1.1478
TMEM5	-0.1359	-0.8708	-0.2563	-1.0248
ATP5S	-0.3619	0.4529	-0.3450	-1.0420
NGRN	-0.5001	0.9011	0.3681	-0.0580
HOXA5	1.5114	0.1128	-0.0737	0.9750
GRN	0.5092	-1.2125	0.4583	-0.4015
NUP85	-0.3000	-1.3071	-0.2971	-3.3595
GTPBP8	-0.3925	0.7413	-0.2094	-2.4043
PTK2	-0.1670	0.2850	0.3035	0.8880
EPN2	-0.3483	-0.4137	-0.3440	1.7855
CCDC90A	0.5709	0.5276	-0.2382	0.9317
KIAA0528	0.1540	-1.1514	0.3677	-1.9373
MRPS16	-0.0156	-0.9507	0.0913	-1.1922
NOL3	0.3423	-1.4909	0.4260	-0.1148
NR1H2	-0.1388	2.2408	0.4560	0.1732
PLS1	0.9714	-0.5050	-0.3816	1.7635
DUSP22	-0.1571	-0.0889	-0.1707	-0.6356
RPS6KA1	-0.1748	-0.0212	1.3479	1.2325
DCK	-0.4295	-0.3977	0.5735	-0.7318
TRIM2	-0.4106	-0.3525	-0.1264	0.7981
VPS28	-0.0724	-0.1262	-1.7432	-0.2472
LRRC16A	0.0686	-0.6836	0.0654	0.8087
NR2F6	0.3231	1.1437	-0.1654	0.5426
EXOSC4	0.7711	-3.3200	0.3158	-0.8934
PDLIM1	0.7429	0.3330	1.9019	1.2914
CRELD2	0.0032	0.2321	-0.7200	-0.1750
RRP12	0.9082	-3.9896	0.4999	-0.4156
ACAT2	-0.1899	-0.1712	-1.0845	-1.2765
THAP11	2.1860	0.3764	-0.0745	-0.1664
CEBPD	-0.3741	0.0579	-0.5528	-0.9163
MAST2	1.1234	0.4519	1.6363	-0.7905
DHDDS	-0.3832	-0.0471	-0.0377	-0.3175
GADD45B	-0.9419	-1.2721	1.0245	1.0441
KIAA0355	-0.8710	1.4292	2.3184	2.1108
DYNLT3	6.3463	0.3998	-0.0784	-0.0574
CHMP4A	-0.2825	0.5718	0.0681	-1.1623
IPO13	-0.4681	-0.3779	-0.2010	0.0614
ITFG1	-0.9959	0.6048	0.3386	-1.1709
HYOU1	-0.2344	0.1714	-0.4159	1.1282
FOS	-0.0045	0.4484	-0.5874	0.8825
MCOLN1	6.4236	1.1716	1.6050	-0.5737
ID2	2.5153	0.8206	1.4130	-0.4345
KCNK1	-0.0388	-0.3624	-0.2165	0.3309
RAI14	-0.5521	0.1723	-0.4520	0.1592
DNAJC15	-0.2783	-0.8178	-1.4335	-0.2102
HOXA10	0.1910	1.7624	1.4584	-0.1539
CTNND1	0.0544	-0.1331	-0.5796	0.2984
ZNF131	-0.2871	-0.3807	-0.1391	-0.5252
HOOK2	-0.1290	-1.1179	-0.3039	0.3205
ERBB2	0.3261	-2.0144	0.2958	-0.4089
INTS3	1.2222	-0.3318	0.4150	-0.1622
RFNG	-0.5756	-0.3210	-0.0755	-1.0298
MICALL1	0.1984	2.0588	0.4925	-0.9126
KLHL21	0.2602	0.0487	1.2905	0.6764
TLE1	0.3821	-2.0560	-0.1144	-1.8372
COG2	-0.1939	0.2715	1.0645	0.3606
MRPS2	0.2576	-0.1120	-2.6375	-1.1685
KCTD5	0.2817	0.7246	0.4774	2.3291
CNPY3	1.6012	1.6326	0.0047	-0.3749
ADAM10	-0.5979	-1.0558	0.3472	0.9200
CD58	-0.6831	1.1729	-0.8256	0.5021
KIF5C	-0.2505	3.0577	0.8247	5.5301
HMG20B	0.3012	-0.2759	0.8035	-0.9745
PIN1	-0.3108	-0.7017	0.3337	-0.2940
LAGE3	0.6661	-1.5322	0.1604	0.3252
TNFRSF21	-0.7040	0.1773	-0.6127	0.9946
KIF14	0.1295	-0.4352	-1.8339	-1.0124
CYB561	0.6679	-2.1767	0.5164	-0.9408
HTRA1	0.0710	0.0491	0.3817	0.2995
WASF3	0.9092	-1.1236	-0.1174	0.0872
TSPAN6	-0.4585	1.4953	0.4186	0.1650
FBXO21	-0.2123	-0.2586	-0.8516	-0.0503
PPP2R3C	-0.2703	1.0691	-0.3026	1.5287
GRB10	-0.5048	1.3416	0.6966	2.8546
ZW10	-0.0923	-0.6647	-0.0437	0.3012
CORO1A	0.3091	-1.0898	-0.1082	2.5447
XPNPEP1	0.2252	2.0928	-0.4100	0.4481
MAMLD1	0.4058	2.3658	-0.0982	-0.9322
DSG2	-0.5039	0.9259	-0.5848	1.2316
SLC27A3	-0.2306	-1.5441	-0.5336	-2.1149
CD97	0.2277	-1.1800	1.1895	6.3806
IL13RA1	-0.6496	0.2523	0.1608	-0.2192
AGL	-0.8713	0.0758	-0.5369	-0.5794
GATA3	-0.0699	1.4146	0.4527	-0.3322
RPA3	0.4605	0.9478	-0.0109	-0.0040
TES	-0.1014	-0.5807	-0.6388	0.7374
SPR	0.8199	-2.0996	-2.6901	-3.9337
RELB	0.4363	1.6549	1.4617	0.0877
RPIA	0.3970	-2.4477	0.2629	-1.2645
GPR56	0.2004	-0.4581	0.7287	1.8545
NVL	-0.4040	0.4175	-0.9817	-0.2483
ME2	-0.0402	-0.5553	-0.0793	0.3446
WDR67	0.7151	-1.6454	0.2123	-0.8312
RFC2	0.6026	-0.4336	0.6083	-4.1955
TIMM9	-0.8313	-1.5766	0.1593	-0.8346
ORC1	-0.4101	1.7531	-0.4119	-0.2093
PARP2	0.4201	-2.0202	-0.0177	-3.0318
FASTKD5	0.5738	0.6792	1.3674	-0.3190
PTPLAD1	-0.1774	0.6431	-0.7498	-0.7786
MSRA	-0.3194	-0.0073	0.7542	-2.0214
SYNE2	-0.0502	1.4063	-0.1596	0.2301
UBE3C	-1.2862	0.7311	0.0472	0.7421
CCDC92	-0.0400	-0.5960	0.4498	0.6560
TIMM22	1.0758	3.0868	0.6875	-0.9105
ATF5	0.8065	-0.6476	-0.3748	-5.5616
NSDHL	-0.1099	-0.6797	-0.6393	-0.1256
ADI1	-0.0785	-0.2407	-1.8850	-2.5938
ADCK3	0.2159	0.4892	-0.5108	-1.3792
GDPD5	-0.2486	0.2133	0.2164	1.8385
TARBP1	-0.0425	-3.5185	0.0923	-1.4423
RBKS	0.8426	-0.0141	0.9258	0.2233
KDM3A	-1.2427	0.1109	0.2442	0.5170
BID	-0.7075	0.5498	-0.6445	-1.3543
MTF2	-0.0285	0.1094	-0.2298	-0.5677
PIK3C2B	-0.2394	-1.6890	-0.1311	-0.4371
SLC25A46	-0.7787	-0.2232	-0.7807	-0.9760
CDK19	-0.5358	0.0446	0.1729	1.0896
KIAA0753	4.6690	0.8277	-0.2317	-1.1243
KAT6B	0.0919	0.0952	-0.2759	-1.2863
CHN1	0.2365	0.3322	-0.7921	-0.5610
MAPK13	0.6019	0.0507	-0.9457	0.5613
UFM1	-0.1128	-0.1883	-0.2321	-0.0948
IARS2	0.5168	-1.6721	-0.8055	0.1067
GATA2	-0.5175	2.9369	-0.3644	-0.6786
NRIP1	-0.5949	0.1116	-0.0386	-0.0755
CCNB2	-0.2297	-0.0502	-0.4331	-1.2609
RNPS1	-0.5236	-1.0762	0.6844	0.7783
ARID4B	-0.9364	0.9651	1.7570	1.1686
GSTZ1	-0.0413	-1.3833	0.3486	-0.4046
SESN1	-0.5646	-0.6943	-0.5265	0.1118
SPEN	-0.3307	1.0646	-0.2585	-0.3512
PDHX	0.0657	-2.8395	1.0576	-0.7686
DENND2D	-0.2697	-0.2831	0.4823	1.1372
CTTN	0.0285	-0.0998	-0.7922	-0.5841
UBR7	-0.3231	-0.9824	-0.0273	-0.7096
CD44	-1.0416	0.1457	-0.0416	-0.3845
VAV3	-0.3245	1.8947	0.9646	1.9589
ABHD6	-0.4570	-0.5799	0.9529	2.0802
CAB39	1.0928	0.4754	0.5642	0.6072
TIAM1	-0.0826	0.3089	-0.0025	0.9592
DNM1L	0.0767	-1.7533	-0.1895	0.8746
DERA	0.4199	-0.2885	-0.2618	1.1969
PTPRK	-0.1912	-2.4436	-0.7895	-1.9088
HERC6	-0.0291	-0.2573	0.8194	2.1196
ACOT9	0.5009	-0.8591	0.4962	1.7662
ST3GAL5	-0.5947	0.5623	0.3153	1.5864
CTNNAL1	-0.3007	0.0063	-0.3065	-0.7056
ABHD4	-0.6092	0.9251	0.6298	0.6752
INPP4B	-0.1244	-0.8581	1.7890	0.5439
ZMIZ1	-0.8210	0.6112	0.4615	-0.7208
PPARG	-0.1844	0.4759	2.3520	0.3571
RPP38	0.6314	-0.6766	0.6103	-1.7121
CAST	-0.4408	-0.4651	-0.2192	-0.0395
BAG3	0.2786	-1.3115	-0.6079	-2.0690
GNA11	0.7256	0.5591	0.3496	-1.0549
TOR1A	-0.5381	-0.8377	0.7334	0.1013
SLC25A13	-0.2339	0.1754	0.7278	-0.1646
TSPAN4	0.7814	-0.4224	0.1053	1.4413
NR3C1	-0.0102	0.5565	-0.3595	0.0489
TRIB3	-0.2347	-1.1222	-0.9294	-2.1669
PHF15	0.0769	0.7368	0.4472	-3.1999
CXCR4	-0.4982	0.7038	0.3344	0.8110
FKBP14	-1.0498	1.6896	2.4933	1.8592
CIAPIN1	-0.1600	-0.0574	-0.0239	-0.3466
COG7	-1.0985	-0.3454	0.5207	-2.5224
TUBB6	-0.4231	-0.1160	-0.5410	-1.5776
ABL1	0.5449	-1.0834	0.0728	0.1530
CCNF	0.0338	-0.6962	-0.2433	-0.2208
FAM57A	-0.5275	-2.3234	1.0630	-2.4942
EVL	0.0265	-0.6087	0.2968	0.8222
GPER	-0.2447	1.1189	0.6712	-1.7732
EAPP	-0.6558	-0.3233	-0.6892	-0.2775
EXT1	-0.3638	-0.1413	-0.0341	0.1196
POLE2	-0.2033	0.9201	2.1692	-0.0918
C2CD2	2.2372	3.3352	0.4641	2.4099
ANKRD10	0.1087	1.0567	0.2181	-0.4972
DDX10	0.5071	-0.5891	0.6291	-0.5867
CEP57	-0.3831	0.2784	-0.3911	2.2057
RAB31	-0.7333	0.6400	-0.3797	3.9732
ABCC5	0.6408	0.0169	0.9075	1.5914
RFC5	-0.7255	-1.4085	0.8265	-2.8631
HES1	0.8901	-0.0981	0.0697	0.7517
KLHL9	-0.4991	0.0367	0.2972	-0.1473
UBE2J1	0.6730	0.3805	-0.3954	0.0543
SLC37A4	-0.4993	0.6310	0.1618	-0.4786
NPRL2	0.7254	-0.4982	-0.7445	-0.9646
PWP1	-0.3674	0.0337	-0.5932	-0.8440
PLEKHM1	-0.1017	0.2667	-0.4060	-0.0407
VAT1	-0.7380	-2.4184	1.1004	0.9995
KIF20A	0.2629	-2.2708	0.5980	0.3044
CDH3	0.3895	0.0743	0.3894	1.6147
SSBP2	-0.5276	0.2956	-0.5255	0.2018
SNX11	-0.2702	0.7045	1.1924	0.4250
SFN	0.2755	-0.5091	0.8427	0.3725
RFX5	0.3031	0.2834	0.4120	1.0035
PKIG	-0.5179	1.1587	0.3831	2.1041
FSD1	-0.2570	0.3810	-0.2132	1.6106
ATP6V1D	-0.2252	-0.3821	0.2632	-0.0779
CDC45	0.1816	-1.3957	-1.6870	-4.2495
EDEM1	-0.9409	-0.0085	0.8061	1.3332
USP6NL	-0.3361	0.4684	-0.1119	-0.1153
NT5DC2	0.0131	1.5244	-0.0132	-0.8289
CCP110	-0.3635	0.3475	-0.4275	-0.3733
STK10	0.1245	-0.5009	0.0138	-0.1655
UGDH	-0.1033	-1.7337	0.2706	-1.0236
SQRDL	-0.3332	0.5407	0.6943	2.3583
HEBP1	-0.0114	-0.3246	0.3895	1.7737
ATP11B	-0.3415	0.0590	-0.2371	0.3137
CD320	0.8855	-0.2621	1.0574	0.3691
MLLT11	-0.4112	1.4180	1.6667	2.7185
CEBPZ	-0.1731	0.0641	0.0449	-0.9321
CBR3	1.3935	0.9851	-0.3216	0.2437
